STUDIENR,KURSKODE,KURSTXT,BEDOMMELSE,SKALA,ECTS,UDPROVNING,CENSUR,SEMESTER,SEMESTER_START,SEMESTER_END,DURATION_DAYS,ATTEMPT
STNR003201,1904,DISKRET MATEMATIK,7,7-trinsskala,5,Skriftlig,intern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003201,2312,INDLEDENDE PROGRAMMERING,12,7-trinsskala,10,Mundtlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003201,2369,SOFTWARE PROCESSER OG MONSTRE,BE,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003201,62588,OPERATIVSYSTEMER,12,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2020,2020-08-01,2020-10-31,91,1
STNR003201,2346,DISTRIBUEREDE OG PARALLELLE SYSTEMER,7,7-trinsskala,5,Skriftlig,ekstern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003201,62410,CDIO-PROJEKT,12,7-trinsskala,10,Mundtlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003201,62573,PROGRAMMERING AF INTELLIGENTE KORETOJER OG MOBILE APPLIKATIONER,BE,bestået/ikke bestået,5,Afløsningsopgave,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003201,62597,"BACKENDUDVIKLING, DRIFT OG DISTRIBUEREDE SYSTEMER",12,7-trinsskala,5,Skriftlig,intern censur,Spring 2021,2021-02-01,2021-05-03,91,1
STNR003201,2332,COMPILERTEKNIK,12,7-trinsskala,5,Skriftlig,intern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR003201,62550,BRUGERINTERAKTION OG UDVIKLING PA MOBILE ENHEDER,7,7-trinsskala,10,Skriftlig,ekstern censur,Fall 2021,2021-08-01,2021-10-31,91,1
STNR003309,1901,BASISMAT - INDLEDENDE MATEMATIK FOR DIPLOMINGENIORER,12,7-trinsskala,5,Afløsningsopgave,intern censur,Spring 2019,2019-02-01,2019-05-03,91,1
STNR003309,2313,UDVIKLINGSMETODER TIL IT-SYSTEMER,10,7-trinsskala,5,Skriftlig,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
STNR003309,2315,VERSIONSSTYRING OG TESTMETODER,4,7-trinsskala,5,Afløsningsopgave,ekstern censur,Fall 2019,2019-08-01,2019-10-31,91,1
